id,name,address,city,type
1,arnie morton's of chicago,435 s. la cienega blv.,los angeles,american
2,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,steakhouses
3,art's delicatessen,12224 ventura blvd.,studio city,american
4,art's deli,12224 ventura blvd.,studio city,delis
5,hotel bel-air,701 stone canyon rd.,bel air,californian
6,bel-air hotel,701 stone canyon rd.,bel air,californian
7,cafe bizou,14016 ventura blvd.,sherman oaks,french
8,cafe bizou,14016 ventura blvd.,sherman oaks,french bistro
9,campanile,624 s. la brea ave.,los angeles,american
10,campanile,624 s. la brea ave.,los angeles,californian
11,chinois on main,2709 main st.,santa monica,french
12,chinois on main,2709 main st.,santa monica,pacific new wave
13,citrus,6703 melrose ave.,los angeles,californian
14,fenix,8358 sunset blvd. west,hollywood,american
15,fenix at the argyle,8358 sunset blvd.,w. hollywood,french (new)
16,granita,23725 w. malibu rd.,malibu,californian
17,grill on the alley,9560 dayton way,los angeles,american
18,grill  the,9560 dayton way,beverly hills,american (traditional)
19,restaurant katsu,1972 n. hillhurst ave.,los angeles,asian
20,katsu,1972 hillhurst ave.,los feliz,japanese
21,l'orangerie,903 n. la cienega blvd.,los angeles,french
22,l'orangerie,903 n. la cienega blvd.,w. hollywood,french (classic)
23,le chardonnay,8284 melrose ave.,los angeles,french
24,le chardonnay (los angeles),8284 melrose ave.,los angeles,french bistro
25,locanda veneta,3rd st.,los angeles,italian
26,locanda veneta,8638 w. third st.,los angeles,italian
27,matsuhisa,129 n. la cienega blvd.,beverly hills,asian
28,matsuhisa,129 n. la cienega blvd.,beverly hills,seafood
29,the palm,9001 santa monica blvd.,los angeles,american
30,palm  the (los angeles),9001 santa monica blvd.,w. hollywood,steakhouses
31,patina,5955 melrose ave.,los angeles,californian
32,philippe's the original,1001 n. alameda st.,los angeles,american
33,philippe the original,1001 n. alameda st.,chinatown,cafeterias
34,pinot bistro,12969 ventura blvd.,los angeles,french
35,pinot bistro,12969 ventura blvd.,studio city,french bistro
36,rex il ristorante,617 s. olive st.,los angeles,italian
37,rex il ristorante,617 s. olive st.,los angeles,nuova cucina italian
38,spago,1114 horn ave.,los angeles,californian
39,spago (los angeles),8795 sunset blvd.,w. hollywood,californian
40,valentino,3115 pico blvd.,santa monica,italian
41,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,asian
42,yujean kang's,67 n. raymond ave.,pasadena,chinese
43,21 club,21 w. 52nd st.,new york,american
44,21 club,21 w. 52nd st.,new york city,american (new)
45,aquavit,13 w. 54th st.,new york,continental
46,aquavit,13 w. 54th st.,new york city,scandinavian
47,aureole,34 e. 61st st.,new york,american
48,aureole,34 e. 61st st.,new york city,american (new)
49,cafe lalo,201 w. 83rd st.,new york,coffee bar
50,cafe lalo,201 w. 83rd st.,new york city,coffeehouses
51,cafe des artistes,1 w. 67th st.,new york,continental
52,cafe des artistes,1 w. 67th st.,new york city,french (classic)
53,carmine's,2450 broadway  between 90th and 91st sts.,new york,italian
54,carmine's,2450 broadway,new york city,italian
55,carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,delicatessen
56,carnegie deli,854 seventh ave.,new york city,delis
57,chanterelle,2 harrison st.  near hudson st.,new york,american
58,chanterelle,2 harrison st.,new york city,french (new)
59,daniel,20 e. 76th st.,new york,french
60,daniel,20 e. 76th st.,new york city,french (new)
61,dawat,210 e. 58th st.,new york,asian
62,dawat,210 e. 58th st.,new york city,indian
63,felidia,243 e. 58th st.,new york,italian
64,felidia,243 e. 58th st.,new york city,italian
65,four seasons grill room,99 e. 52nd st.,new york,american
66,four seasons,99 e. 52nd st.,new york city,american (new)
67,gotham bar & grill,12 e. 12th st.,new york,american
68,gotham bar & grill,12 e. 12th st.,new york city,american (new)
69,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,american
70,gramercy tavern,42 e. 20th st.,new york city,american (new)
71,island spice,402 w. 44th st.,new york,tel caribbean
72,island spice,402 w. 44th st.,new york city,caribbean
73,jo jo,160 e. 64th st.,new york,american
74,jo jo,160 e. 64th st.,new york city,french bistro
75,la caravelle,33 w. 55th st.,new york,french
76,la caravelle,33 w. 55th st.,new york city,french (classic)
77,la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,french
78,la cote basque,60 w. 55th st.,new york city,french (classic)
79,le bernardin,155 w. 51st st.,new york,french
80,le bernardin,155 w. 51st st.,new york city,seafood
81,les celebrites,160 central park s,new york,french
82,les celebrites,155 w. 58th st.,new york city,french (classic)
83,lespinasse,2 e. 55th st.,new york,american
84,lespinasse (new york city),2 e. 55th st.,new york city,asian
85,lutece,249 e. 50th st.,new york,french
86,lutece,249 e. 50th st.,new york city,french (classic)
87,manhattan ocean club,57 w. 58th st.,new york,seafood
88,manhattan ocean club,57 w. 58th st.,new york city,seafood
89,march,405 e. 58th st.,new york,american
90,march,405 e. 58th st.,new york city,american (new)
91,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,american
92,mesa grill,102 fifth ave.,new york city,southwestern
93,mi cocina,57 jane st.  off hudson st.,new york,mexican
94,mi cocina,57 jane st.,new york city,mexican
95,montrachet,239 w. broadway  between walker and white sts.,new york,french
96,montrachet,239 w. broadway,new york city,french bistro
97,oceana,55 e. 54th st.,new york,seafood
98,oceana,55 e. 54th st.,new york city,seafood
99,park avenue cafe,100 e. 63rd st.,new york,american
100,park avenue cafe (new york city),100 e. 63rd st.,new york city,american (new)
101,petrossian,182 w. 58th st.,new york,french
102,petrossian,182 w. 58th st.,new york city,russian
103,picholine,35 w. 64th st.,new york,mediterranean
104,picholine,35 w. 64th st.,new york city,mediterranean
105,pisces,95 ave. a at 6th st.,new york,seafood
106,pisces,95 ave. a,new york city,seafood
107,rainbow room,30 rockefeller plaza,new york,or 212/632-5100 american
108,rainbow room,30 rockefeller plaza,new york city,american (new)
109,river cafe,1 water st. at the east river,brooklyn,american
110,river cafe,1 water st.,brooklyn,american (new)
111,san domenico,240 central park s,new york,italian
112,san domenico,240 central park s.,new york city,italian
113,second avenue deli,156 2nd ave. at 10th st.,new york,delicatessen
114,second avenue deli,156 second ave.,new york city,delis
115,seryna,11 e. 53rd st.,new york,asian
116,seryna,11 e. 53rd st.,new york city,japanese
117,shun lee west,43 w. 65th st.,new york,asian
118,shun lee palace,155 e. 55th st.,new york city,chinese
119,sign of the dove,1110 3rd ave. at 65th st.,new york,american
120,sign of the dove,1110 third ave.,new york city,american (new)
121,smith & wollensky,201 e. 49th st.,new york,american
122,smith & wollensky,797 third ave.,new york city,steakhouses
123,tavern on the green,in central park at 67th st.,new york,american
124,tavern on the green,central park west,new york city,american (new)
125,uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,mediterranean
126,uncle nick's,747 ninth ave.,new york city,greek
127,union square cafe,21 e. 16th st.,new york,american
128,union square cafe,21 e. 16th st.,new york city,american (new)
129,virgil's,152 w. 44th st.,new york,american
130,virgil's real bbq,152 w. 44th st.,new york city,bbq
131,chin's,3200 las vegas blvd. s,las vegas,asian
132,chin's,3200 las vegas blvd. s.,las vegas,chinese
133,coyote cafe,3799 las vegas blvd. s,las vegas,southwestern
134,coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,southwestern
135,le montrachet,3000 w. paradise rd.,las vegas,continental
136,le montrachet bistro,3000 paradise rd.,las vegas,french bistro
137,palace court,3570 las vegas blvd. s,las vegas,continental
138,palace court,3570 las vegas blvd. s.,las vegas,french (new)
139,second street grille,200 e. fremont st.,las vegas,seafood
140,second street grill,200 e. fremont st.,las vegas,pacific rim
141,steak house,2880 las vegas blvd. s,las vegas,steak houses
142,steak house  the,2880 las vegas blvd. s.,las vegas,steakhouses
143,tillerman,2245 e. flamingo rd.,las vegas,seafood
144,tillerman  the,2245 e. flamingo rd.,las vegas,steakhouses
145,abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,italian
146,abruzzi,2355 peachtree rd. ne,atlanta,italian
147,bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,international
148,bacchanalia,3125 piedmont rd.,atlanta,californian
149,bone's,3130 piedmont road,atlanta,american
150,bone's restaurant,3130 piedmont rd. ne,atlanta,steakhouses
151,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,french
152,brasserie le coze,3393 peachtree rd.,atlanta,french bistro
153,buckhead diner,3073 piedmont road,atlanta,american
154,buckhead diner,3073 piedmont rd.,atlanta,american (new)
155,ciboulette,1529 piedmont ave.,atlanta,french
156,ciboulette restaurant,1529 piedmont ave.,atlanta,french (new)
157,delectables,1 margaret mitchell sq.,atlanta,american
158,delectables,1 margaret mitchell sq.,atlanta,cafeterias
159,georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,american
160,georgia grille,2290 peachtree rd.,atlanta,southwestern
161,hedgerose heights inn,490 e. paces ferry rd.,atlanta,international
162,hedgerose heights inn  the,490 e. paces ferry rd. ne,atlanta,continental
163,heera of india,595 piedmont ave.  rio shopping mall,atlanta,asian
164,heera of india,595 piedmont ave.,atlanta,indian
165,indigo coastal grill,1397 n. highland ave.,atlanta,caribbean
166,indigo coastal grill,1397 n. highland ave.,atlanta,eclectic
167,la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,italian
168,la grotta,2637 peachtree rd. ne,atlanta,italian
169,mary mac's tea room,224 ponce de leon ave.,atlanta,southern
170,mary mac's tea room,224 ponce de leon ave.,atlanta,southern/soul
171,nikolai's roof,255 courtland st.  at harris st.,atlanta,continental
172,nikolai's roof,255 courtland st.,atlanta,continental
173,pano's and paul's,1232 w. paces ferry rd.,atlanta,international
174,pano's & paul's,1232 w. paces ferry rd.,atlanta,american (new)
175,cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,ext 6108 international
176,ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,american (new)
177,dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,international
178,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,american (new)
179,restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,continental
180,ritz-carlton restaurant,181 peachtree st.,atlanta,french (classic)
181,toulouse,b peachtree rd.,atlanta,french
182,toulouse,293-b peachtree rd.,atlanta,french (new)
183,veni vidi vici,41 14th st.,atlanta,italian
184,alain rondelli,126 clement st.,san francisco,french
185,alain rondelli,126 clement st.,san francisco,french (new)
186,aqua,252 california st.,san francisco,seafood
187,aqua,252 california st.,san francisco,american (new)
188,boulevard,1 mission st.,san francisco,american
189,boulevard,1 mission st.,san francisco,american (new)
190,cafe claude,7 claude la.,san francisco,french
191,cafe claude,7 claude ln.,san francisco,french bistro
192,campton place,340 stockton st.,san francisco,american
193,campton place,340 stockton st.,san francisco,american (new)
194,chez michel,804 northpoint,san francisco,french
195,chez michel,804 north point st.,san francisco,californian
196,fleur de lys,777 sutter st.,san francisco,french
197,fleur de lys,777 sutter st.,san francisco,french (new)
198,fringale,570 4th st.,san francisco,french
199,fringale,570 fourth st.,san francisco,french bistro
200,hawthorne lane,22 hawthorne st.,san francisco,american
201,hawthorne lane,22 hawthorne st.,san francisco,californian
202,khan toke thai house,5937 geary blvd.,san francisco,asian
203,khan toke thai house,5937 geary blvd.,san francisco,thai
204,la folie,2316 polk st.,san francisco,french
205,la folie,2316 polk st.,san francisco,french (new)
206,lulu,816 folsom st.,san francisco,mediterranean
207,lulu restaurant-bis-cafe,816 folsom st.,san francisco,mediterranean
208,masa's,648 bush st.,san francisco,french
209,masa's,648 bush st.,san francisco,french (new)
210,mifune japan center  kintetsu building,1737 post st.,san francisco,asian
211,mifune,1737 post st.,san francisco,japanese
212,plumpjack cafe,3201 fillmore st.,san francisco,mediterranean
213,plumpjack cafe,3127 fillmore st.,san francisco,american (new)
214,postrio,545 post st.,san francisco,american
215,postrio,545 post st.,san francisco,californian
216,ritz-carlton restaurant and dining room,600 stockton st.,san francisco,american
217,ritz-carlton dining room (san francisco),600 stockton st.,san francisco,french (new)
218,rose pistola,532 columbus ave.,san francisco,italian
219,adriano's ristorante,2930 beverly glen circle,los angeles,italian
220,barney greengrass,9570 wilshire blvd.,beverly hills,american
221,beaurivage,26025 pacific coast hwy.,malibu,french
222,bistro garden,176 n. canon dr.,los angeles,californian
223,border grill,4th st.,los angeles,mexican
224,broadway deli,3rd st. promenade,santa monica,american
225,ca'brea,346 s. la brea ave.,los angeles,italian
226,ca'del sol,4100 cahuenga blvd.,los angeles,italian
227,cafe pinot,700 w. fifth st.,los angeles,californian
228,california pizza kitchen,207 s. beverly dr.,los angeles,californian
229,canter's,419 n. fairfax ave.,los angeles,american
230,cava,3rd st.,los angeles,mediterranean
231,cha cha cha,656 n. virgil ave.,los angeles,caribbean
232,chan dara,310 n. larchmont blvd.,los angeles,asian
233,clearwater cafe,168 w. colorado blvd.,los angeles,health food
234,dining room,9500 wilshire blvd.,los angeles,californian
235,dive!,10250 santa monica blvd.,los angeles,dive american
236,drago,2628 wilshire blvd.,santa monica,italian
237,drai's,730 n. la cienega blvd.,los angeles,french
238,dynasty room,930 hilgard ave.,los angeles,continental
239,eclipse,8800 melrose ave.,los angeles,californian
240,ed debevic's,134 n. la cienega,los angeles,american
241,el cholo,1121 s. western ave.,los angeles,mexican
242,gilliland's,2424 main st.,santa monica,american
243,gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,american
244,hard rock cafe,8600 beverly blvd.,los angeles,american
245,harry's bar & american grill,2020 ave. of the stars,los angeles,italian
246,il fornaio cucina italiana,301 n. beverly dr.,los angeles,italian
247,jack sprat's grill,10668 w. pico blvd.,los angeles,health food
248,jackson's farm,439 n. beverly drive,los angeles,californian
249,jimmy's,201 moreno dr.,los angeles,continental
250,joss,9255 sunset blvd.,los angeles,asian
251,le colonial,8783 beverly blvd.,los angeles,asian
252,le dome,8720 sunset blvd.,los angeles,french
253,louise's trattoria,4500 los feliz blvd.,los angeles,italian
254,mon kee seafood restaurant,679 n. spring st.,los angeles,asian
255,morton's,8764 melrose ave.,los angeles,american
256,nate 'n' al's,414 n. beverly dr.,los angeles,american
257,nicola,601 s. figueroa st.,los angeles,american
258,ocean avenue,1401 ocean ave.,santa monica,american
259,orleans,11705 national blvd.,los angeles,cajun
260,pacific dining car,6th st.,los angeles,american
261,paty's,10001 riverside dr.,toluca lake,american
262,pinot hollywood,1448 n. gower st.,los angeles,californian
263,posto,14928 ventura blvd.,sherman oaks,italian
264,prego,362 n. camden dr.,los angeles,italian
265,rj's the rib joint,252 n. beverly dr.,los angeles,american
266,remi,3rd st. promenade,santa monica,italian
267,restaurant horikawa,111 s. san pedro st.,los angeles,asian
268,roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,american
269,schatzi on main,3110 main st.,los angeles,continental
270,sofi,3rd st.,los angeles,mediterranean
271,swingers,8020 beverly blvd.,los angeles,american
272,tavola calda,7371 melrose ave.,los angeles,italian
273,the mandarin,430 n. camden dr.,los angeles,asian
274,tommy tang's,7313 melrose ave.,los angeles,asian
275,tra di noi,3835 cross creek rd.,los angeles,italian
276,trader vic's,9876 wilshire blvd.,los angeles,asian
277,vida,1930 north hillhurst ave.,los feliz,american
278,west beach cafe,60 n. venice blvd.,los angeles,american
279,20 mott,20 mott st.  between bowery and pell st.,new york,asian
280,9 jones street,9 jones st.,new york,american
281,adrienne,700 5th ave. at 55th st.,new york,french
282,agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,mediterranean
283,aja,937 broadway at 22nd st.,new york,american
284,alamo,304 e. 48th st.,new york,mexican
285,alley's end,311 w. 17th st.,new york,american
286,ambassador grill,1 united nations plaza at 44th st.,new york,american
287,american place,2 park ave. at 32nd st.,new york,american
288,anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,italian
289,arizona,206 206 e. 60th st.,new york,american
290,arturo's,106 w. houston st.  off thompson st.,new york,italian
291,au mandarin,200-250 vesey st. world financial center,new york,asian
292,bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,mediterranean
293,barbetta,321 w. 46th st.,new york,italian
294,ben benson's,123 w. 52nd st.,new york,american
295,big cup,228 8th ave.  between 21st and 22nd sts.,new york,coffee bar
296,billy's,948 1st ave.  between 52nd and 53rd sts.,new york,american
297,boca chica,13 1st ave.  near 1st st.,new york,latin american
298,bolo,23 e. 22nd st.,new york,mediterranean
299,boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,asian
300,bouterin,420 e. 59th st.  off 1st ave.,new york,french
301,brothers bar-b-q,225 varick st. at clarkston st.,new york,american
302,bruno,240 e. 58th st.,new york,italian
303,bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,american
304,c3,103 waverly pl.  near washington sq.,new york,american
305,ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,french
306,cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,coffee bar
307,cafe botanica,160 central park s,new york,french
308,cafe la fortuna,69 w. 71st st.,new york,coffee bar
309,cafe luxembourg,200 w. 70th st.,new york,french
310,cafe pierre,2 e. 61st st.,new york,french
311,cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,french
312,cafe fes,246 w. 4th st. at charles st.,new york,mediterranean
313,caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,coffee bar
314,caffe dell'artista,46 greenwich ave.,new york,coffee bar
315,caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,french
316,caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,coffee bar
317,caffe roma,385 broome st. at mulberry,new york,coffee bar
318,caffe vivaldi,32 jones st. at bleecker st.,new york,coffee bar
319,caffe bondi ristorante,7 w. 20th st.,new york,italian
320,capsouto freres,451 washington st.  near watts st.,new york,french
321,captain's table,860 2nd ave. at 46th st.,new york,seafood
322,casa la femme,150 wooster st.  between houston and prince sts.,new york,middle eastern
323,cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,new york,asian
324,chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,french
325,chiam,160 e. 48th st.,new york,asian
326,china grill,60 w. 53rd st.,new york,american
327,cite,120 w. 51st st.,new york,french
328,coco pazzo,23 e. 74th st.,new york,italian
329,columbus bakery,53rd sts.,new york,coffee bar
330,corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,coffee bar
331,cupcake cafe,522 9th ave. at 39th st.,new york,coffee bar
332,da nico,164 mulberry st.  between grand and broome sts.,new york,italian
333,dean & deluca,121 prince st.,new york,coffee bar
334,diva,341 w. broadway  near grand st.,new york,italian
335,dix et sept,181 w. 10th st.,new york,french
336,docks,633 3rd ave. at 40th st.,new york,seafood
337,duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,american
338,el teddy's,219 w. broadway  between franklin and white sts.,new york,mexican
339,emily's,1325 5th ave. at 111th st.,new york,american
340,empire korea,6 e. 32nd st.,new york,asian
341,ernie's,2150 broadway  between 75th and 76th sts.,new york,american
342,evergreen cafe,1288 1st ave. at 69th st.,new york,asian
343,f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,italian
344,felix,340 w. broadway at grand st.,new york,french
345,ferrier,29 e. 65th st.,new york,french
346,fifty seven fifty seven,57 e. 57th st.,new york,american
347,film center cafe,635 9th ave.  between 44th and 45th sts.,new york,american
348,fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,italian
349,firehouse,522 columbus ave.  between 85th and 86th sts.,new york,american
350,first,87 1st ave.  between 5th and 6th sts.,new york,american
351,fishin eddie,73 w. 71st st.,new york,seafood
352,fleur de jour,348 e. 62nd st.,new york,coffee bar
353,flowers,21 west 17th st.  between 5th and 6th aves.,new york,american
354,follonico,6 w. 24th st.,new york,italian
355,fraunces tavern,54 pearl st. at broad st.,new york,american
356,french roast,458 6th ave. at 11th st.,new york,french
357,french roast cafe,2340 broadway at 85th st.,new york,coffee bar
358,frico bar,402 w. 43rd st.  off 9th ave.,new york,italian
359,fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,asian
360,gabriela's,685 amsterdam ave. at 93rd st.,new york,mexican
361,gallagher's,228 w. 52nd st.,new york,american
362,gianni's,15 fulton st.,new york,seafood
363,girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,italian
364,global,33 93 2nd ave.  between 5th and 6th sts.,new york,american
365,golden unicorn,18 e. broadway at catherine st.,new york,asian
366,grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,italian
367,halcyon,151 w. 54th st.  in the rihga royal hotel,new york,american
368,hard rock cafe,221 w. 57th st.,new york,american
369,hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,american
370,home,20 cornelia st.  between bleecker and w. 4th st.,new york,american
371,hudson river club,4 world financial center,new york,american
372,i trulli,122 e. 27th st.  between lexington and park aves.,new york,italian
373,il cortile,125 mulberry st.  between canal and hester sts.,new york,italian
374,il nido,251 e. 53rd st.,new york,italian
375,inca grill,492 broome st.  near w. broadway,new york,latin american
376,indochine,430 lafayette st.  between 4th st. and astor pl.,new york,asian
377,internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,new york,coffee bar
378,ipanema,13 w. 46th st.,new york,latin american
379,jean lafitte,68 w. 58th st.,new york,french
380,jewel of india,15 w. 44th st.,new york,asian
381,jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,new york,asian
382,joe allen,326 w. 46th st.,new york,american
383,judson grill,152 w. 52nd st.,new york,american
384,l'absinthe,227 e. 67th st.,new york,french
385,l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,middle eastern
386,l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,french
387,l'udo,432 lafayette st.  near astor pl.,new york,french
388,la reserve,4 w. 49th st.,new york,french
389,lanza restaurant,168 1st ave.  between 10th and 11th sts.,new york,italian
390,lattanzi ristorante,361 w. 46th st.,new york,italian
391,layla,211 w. broadway at franklin st.,new york,middle eastern
392,le chantilly,106 e. 57th st.,new york,french
393,le colonial,149 e. 57th st.,new york,asian
394,le gamin,50 macdougal st.  between houston and prince sts.,new york,coffee bar
395,le jardin,25 cleveland pl.  near spring st.,new york,french
396,le madri,168 w. 18th st.,new york,italian
397,le marais,150 w. 46th st.,new york,american
398,le perigord,405 e. 52nd st.,new york,french
399,le select,507 columbus ave.  between 84th and 85th sts.,new york,american
400,les halles,411 park ave. s  between 28th and 29th sts.,new york,french
401,lincoln tavern,51 w. 64th st.,new york,american
402,lola,30 west 22nd st.  between 5th and 6th ave.,new york,american
403,lucky strike,59 grand st.  between wooster st. and w. broadway,new york,or 212/941-0772 american
404,mad fish,2182 broadway  between 77th and 78th sts.,new york,seafood
405,main street,446 columbus ave.  between 81st and 82nd sts.,new york,american
406,mangia e bevi,800 9th ave. at 53rd st.,new york,italian
407,manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,new york,american
408,manila garden,325 e. 14th st.  between 1st and 2nd aves.,new york,asian
409,marichu,342 e. 46th st.  between 1st and 2nd aves.,new york,french
410,marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,coffee bar
411,match,160 mercer st.  between houston and prince sts.,new york,american
412,matthew's,1030 3rd ave. at 61st st.,new york,american
413,mavalli palace,46 e. 29th st.,new york,asian
414,milan cafe and coffee bar,120 w. 23rd st.,new york,coffee bar
415,monkey bar,60 e. 54th st.,new york,american
416,montien,1134 1st ave.   between 62nd and 63rd sts.,new york,asian
417,morton's,551 5th ave. at 45th st.,new york,american
418,motown cafe,104 w. 57th st.  near 6th ave.,new york,american
419,new york kom tang soot bul house,32 w. 32nd st.,new york,asian
420,new york noodletown,28 1/2 bowery at bayard st.,new york,asian
421,newsbar,2 w. 19th st.,new york,coffee bar
422,odeon,145 w. broadway at thomas st.,new york,american
423,orso,322 w. 46th st.,new york,italian
424,osteria al droge,142 w. 44th st.,new york,italian
425,otabe,68 e. 56th st.,new york,asian
426,pacifica,138 lafayette st.  between canal and howard sts.,new york,asian
